QuestID,QuestType,Title,Summary,InitialStepID,TrackerVisible,LogOrder,Active,WriterNote,PlayerDescription
QST_W1_MAIN_01_AWAKE,MAIN,내가 잠든 동안,"냉동 수면에서 깨어난 제이가 자신을 기억하는 핵심 동료 6명을 다시 만나며, 자신이 빠져 있던 시간을 따라잡는다.",QSTEP_W1_MAIN_01_AWAKE_01,TRUE,100,TRUE,GAME_START에서 활성화. Day1~2 특별 이름 체크리스트를 사용.,"눈을 뜬 사이, 함께 출발했던 사람들은 사고 이후의 시간을 살아왔다. 기억 속의 동료들을 다시 만나 내가 놓친 시간과 지금의 공동체를 확인하자."
QST_W1_MAIN_02_INVESTIGATION,MAIN,이곳에서 살아갈 수 있을까,오아시스가 장기적으로 인간이 살아갈 환경인지 조사하고 결과를 공유한다.,QSTEP_W1_MAIN_02_INVESTIGATION_01,TRUE,100,TRUE,Day 3 활성화.,"오아시스는 지금까지 모두를 살려 왔지만, 오래 버틸 수 있는지는 확인되지 않았다. 지질과 수질, 기상 기록을 조사해 이곳의 장기 거주 가능성을 판단하자."
QST_W1_MAIN_03_DISCLOSURE,MAIN,누가 진실을 알아야 하는가,"오아시스 조사 결과를 어떻게 알릴지 Day3~6 동안 대비한 뒤, Day7 공동체 전체 공개와 제한 공개 중 하나를 결정한다.",QSTEP_W1_MAIN_03_DISCLOSURE_01,TRUE,100,TRUE,오아시스 조사 보고 직후 활성화. 최종 선택은 Day7에만 가능.,"조사 결과는 공동체의 미래를 흔들 수 있다. 누구에게, 얼마나, 어떤 방식으로 알릴지 생각하고 그 선택에 대비하자."
QST_W2_MAIN_01_STORM_WARNING,MAIN,이상 기류,보리치의 경고를 확인하고 대형 모래폭풍의 접근을 공동체의 문제로 받아들인다.,QSTEP_W2_MAIN_01_STORM_WARNING_01,TRUE,100,TRUE,,평소와 다른 바람과 관측 기록이 하나의 경고를 가리키고 있다. 보리치의 자료를 확인하고 다가오는 모래폭풍이 얼마나 위험한지 파악하자.
QST_W2_MAIN_02_SHELTER,MAIN,피난처,폭풍 동안 외부 거주가 어렵다는 판단 아래 수송선을 피난처로 전환하기로 한다.,QSTEP_W2_MAIN_02_SHELTER_01,TRUE,100,TRUE,,폭풍이 지나갈 동안 외부 거주지는 사람을 지켜 주기 어렵다. 수송선을 임시 피난처로 바꾸기 위해 필요한 조건을 정리하자.
QST_W2_MAIN_03_EVAC_PREP,MAIN,사람을 옮길 준비,사람·물자·필수 장비를 수송선으로 옮길 준비도를 채운다.,QSTEP_W2_MAIN_03_EVAC_PREP_01,TRUE,100,TRUE,,"사람만 옮긴다고 피난이 끝나는 것은 아니다. 물과 식량, 장비와 생활 필수품을 정리해 수송선 안에서 버틸 준비를 갖추자."
QST_W2_MAIN_04_SEAL_SHIP,MAIN,문이 닫히기 전에,마지막 외부 작업을 끝내고 Day 14에 모든 사람을 수송선 안으로 들인 뒤 출입구를 봉쇄한다.,QSTEP_W2_MAIN_04_SEAL_SHIP_01,TRUE,100,TRUE,,폭풍이 닿기 전 외부에서 할 수 있는 시간은 얼마 남지 않았다. 마지막 작업을 마치고 모두가 들어온 뒤 수송선을 봉쇄하자.
QST_W3_MAIN_01_CHAOS,MAIN,닫힌 문,폭풍 첫날 수송선 내부의 혼란과 초기 고장을 안정시킨다.,QSTEP_W3_MAIN_01_CHAOS_01,TRUE,100,TRUE,,닫힌 수송선 안에서 작은 고장 하나도 모두의 생존을 흔든다. 첫날의 혼란을 가라앉히고 네 구역이 버틸 수 있는 상태를 만들자.
QST_W3_MAIN_02_STORM_ANALYSIS,MAIN,폭풍을 읽는 두 사람,지질학자인 제이와 기상학자인 보리치가 관측을 반복해 폭풍의 구조와 예상 피해를 계산한다.,QSTEP_W3_MAIN_02_STORM_ANALYSIS_01,TRUE,100,TRUE,,"밖을 볼 수 없어도 폭풍의 흔적은 수치와 진동, 기록에 남는다. 보리치와 관측을 이어 가며 폭풍의 구조와 끝을 계산하자."
QST_W3_MAIN_03_FORECAST,MAIN,끝이 보인다,폭풍이 Day 21 무렵 끝날 것이라는 결론을 공동체에 발표한다.,QSTEP_W3_MAIN_03_FORECAST_01,TRUE,100,TRUE,,반복한 관측 끝에 폭풍의 변화가 하나의 결론으로 모이고 있다. 확인한 예측을 공동체와 공유하고 앞으로의 시간을 준비하자.
QST_W3_MAIN_04_FUTURE,MAIN,폭풍 뒤의 삶,주요 인물들과 폭풍 이후의 삶을 이야기하고 각자의 입장을 확인·변화시킨다.,QSTEP_W3_MAIN_04_FUTURE_01,TRUE,100,TRUE,,폭풍이 끝난 뒤 모두가 같은 곳을 바라볼 이유는 없다. 주요 인물들과 앞으로 어디에서 어떻게 살아갈지 이야기를 나누자.
