EventID,NodeID,ChoiceID,EventName,ExperiencePurpose,PlayerPerceivedChange,PresentationMode,PresentationType,Speaker,BodyText,ChoiceText,NextNodeID,TimeDelta,WillDelta,PersonalXpDelta,SocialXpDelta,TechnicalXpDelta,SamAffinityDelta,JinaAffinityDelta,FayeAffinityDelta,BenjaminAffinityDelta,BorichiAffinityDelta,DiyaAffinityDelta,State1ID,State1Change,State2ID,State2Change,State3ID,State3Change,QuestAction,QuestID,QuestStepID,EmitEventID,ResultTextOverride,SoftStat,SoftRequirement,HardConditionLogic,HardCond1Type,HardCond1Key,HardCond1Operator,HardCond1Value,HardCond2Type,HardCond2Key,HardCond2Operator,HardCond2Value,Active,WriterNote
EVT_W1_GAME_START,N01,,다시 눈을 뜨다,"제이의 정체성과 시간 공백을 먼저 느끼고, 출항 목표보다 ‘내가 없는 동안 무슨 일이 있었나’에 집중한다.",냉동 장치가 열리고 가장 가까웠던 동료 벤자민이 제이를 깨운다.,NARRATIVE,NARRATION,NARRATOR,"냉동 장치의 잠금이 풀리는 소리 뒤로, 제이가 기억하는 목소리가 들린다. 오래 잤다는 감각보다 먼저 낯익은 얼굴이 시야에 들어온다.",눈을 뜬다.,N02,0,0,0,0,0,,,,,,,,,,,,,ACTIVATE_QUEST,QST_W1_MAIN_01_AWAKE,,,,,,,,,,,,,,,TRUE,게임 시작 능력치 배분 UI 확정 후 이어지는 오프닝. 출항을 최종 목표로 즉시 선포하지 않는다.
EVT_W1_AWAKE_COMPLETE,N01,,빠져 있던 시간을 따라잡다,제이가 현재 세계를 이해하기 위한 최소 정보를 갖춘다.,"핵심 동료 6명을 모두 다시 만나고, 제이가 빠져 있던 시간의 윤곽을 잡는다.",SILENT,NONE,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,STA_W1_REUNION_COUNT >= 6 Trigger가 발생. QSTEP_W1_MAIN_01_AWAKE_01이 이 Event를 듣고 Quest 완료.
EVT_W1_DAY3_INVEST,N01,,지질학자에게 돌아온 일,제이가 지질학자라는 정체성을 시스템 플레이로 각인하고 Week1의 핵심 조사 구간을 연다.,샘이 제이에게 오아시스의 장기 안정성을 지질학자의 시선으로 조사해 달라고 맡긴다.,NARRATIVE,NARRATION,NARRATOR,"샘은 오아시스 자료를 내민다. “물을 쓰는 사람은 많지만, 이게 앞으로도 버틸지 판단할 사람은 네가 제일 적합해. 지질 쪽으로 봐 줘.”",계속,,0,0,0,0,0,,,,,,,,,,,,,ACTIVATE_QUEST,QST_W1_MAIN_02_INVESTIGATION,,,,,,,,,,,,,,,TRUE,"Day3, 도입 Main 완료 후 활성화."
EVT_W1_OASIS_RISK_FOUND,N01,,오아시스 장기 위험 발견,한 가지 ‘정답 클릭’이 아니라 서로 다른 조사 경로가 같은 구조적 위험으로 수렴하게 한다.,수질·지질·기상 또는 생활 기록이 ‘현재 방식의 장기 거주는 보장할 수 없다’는 결론을 가리킨다.,NARRATIVE,NARRATION,NARRATOR,오아시스는 지금 당장 사용할 수 있다. 하지만 수위·지반·퇴적 변화는 현재 생활 방식을 장기적으로 안전하다고 보장할 수 없다는 쪽으로 모인다.,계속,,0,0,0,0,0,,,,,,,STA_W1_OASIS_RISK_KNOWN,SET TRUE,,,,,,,,,,,,,,,,,,,,,TRUE,QSTEP_W1_MAIN_02_INVESTIGATION_01이 이 Event를 듣고 Step2로 이동.
EVT_W1_INVEST_REPORT_DONE,N01,,조사 결과 공유,개인적으로 알아낸 사실을 공동체의 의사결정 문제로 바꾼다.,"샘과 조사 결과를 공유하고, Day7까지 공개 방식과 후속 대비를 준비하는 시간이 열린다.",SILENT,NONE,,,,,0,0,0,0,0,,,,,,,STA_W1_DISCLOSURE_DEBATE_OPEN,SET TRUE,,,,,ACTIVATE_QUEST,QST_W1_MAIN_03_DISCLOSURE,,,,,,,,,,,,,,,TRUE,Investigation Quest는 QuestStep ProgressEvent로 별도 완료. 동시에 Disclosure Main을 ACTIVE로 전환.
EVT_W1_DAY7_DISCLOSE,N01,,오늘은 결정해야 한다,Day3~6에 고민하고 준비한 공개 문제를 Day7 실제 선택으로 회수한다.,샘에게 Main !가 나타나고 여러 주요 인물이 참여하는 긴 공개 결정 장면으로 진입한다.,NARRATIVE,NARRATION,NARRATOR,일주일째 아침. 더 미룰 수 없다. 제이는 오늘 오아시스의 위험을 누구에게 어디까지 알릴지 결정해야 한다.,계속,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,실제 선택은 FLOW_W1_DISCLOSURE. Event는 Day7 결정을 전면에 올리는 역할만 한다.
EVT_W1_DISCLOSE_PUBLIC,N01,,전면 공개,전면 공개의 즉시 감정적 파급과 Week2 협력/혼란 Variant의 근거를 만든다.,공동체 전체가 위험을 알고 스스로 준비에 참여하기 시작하지만 불안과 요구도 동시에 커진다.,NARRATIVE,NARRATION,NARRATOR,진실은 공동체 전체의 것이 되었다. 준비할 사람이 늘어난 만큼 질문과 두려움도 더 이상 제이와 샘만의 문제가 아니다.,계속,,0,0,0,0,0,,,,,,,STA_W1_DISCLOSURE_PUBLIC,SET TRUE,,,,,COMPLETE_QUEST,QST_W1_MAIN_03_DISCLOSURE,,,,,,,,,,,,,,,TRUE,
EVT_W1_DISCLOSE_LIMITED,N01,,제한 공개,제한 공개의 겉보기 평온과 소수 전문가에게 몰리는 부담을 Week2로 넘긴다.,대부분의 주민은 평소처럼 생활하지만 핵심 인물들의 시간과 판단 부담이 갑자기 무거워진다.,NARRATIVE,NARRATION,NARRATOR,거주지는 평온해 보인다. 대신 제이와 몇몇 핵심 인물만 같은 위험을 공유한 채 더 많은 준비를 떠안는다.,계속,,0,0,0,0,0,,,,,,,STA_W1_DISCLOSURE_LIMITED,SET TRUE,,,,,COMPLETE_QUEST,QST_W1_MAIN_03_DISCLOSURE,,,,,,,,,,,,,,,TRUE,
EVT_ACT_W1_BEN_NAMES,N01,,남겨진 이름들 개방,묘지와 벤자민의 관계를 알아볼 기회를 연다.,해당 캐릭터에게 새로운 퀘스트 상호작용이 생긴다.,SILENT,NONE,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,v1.6: 자동 Quest 수락 제거. OFFER 상호작용으로 대체되어 비활성.
EVT_ACT_W1_SAM_BURDEN,N01,,책임지는 사람 개방,샘의 지도자 역할을 가까이서 볼 기회를 연다.,해당 캐릭터에게 새로운 퀘스트 상호작용이 생긴다.,SILENT,NONE,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,v1.6: 자동 Quest 수락 제거. OFFER 상호작용으로 대체되어 비활성.
