ChoiceSetID,ChoiceID,Order,ChoiceText,ConfirmText,ResultText,TimeCost,WillCost,SoftStat,SoftRequirement,HardConditionLogic,HardCond1Type,HardCond1Key,HardCond1Operator,HardCond1Value,HardCond2Type,HardCond2Key,HardCond2Operator,HardCond2Value,Result1Type,Result1TargetType,Result1TargetID,Result1Value,Result2Type,Result2TargetType,Result2TargetID,Result2Value,Result3Type,Result3TargetType,Result3TargetID,Result3Value,Active,WriterNote
CHS_BASIC_REST,CHO_BASIC_REST,1,쉰다,몸을 눕히고 일정 시간 모든 일을 내려놓는다.,조금 숨을 돌렸다.,3,0,NONE,0,,,,,,,,,,ADD_WILL,RESOURCE,WILL,1,,,,,,,,,TRUE,휴식은 장소에 붙는 시간 행동.
CHS_BASIC_TECH_STUDY,CHO_BASIC_TECH_STUDY,1,기술 매뉴얼을 읽는다,수송선 정비 기록과 매뉴얼을 차근차근 읽는다.,기술 지식이 조금 늘었다.,1,0,NONE,0,,,,,,,,,,ADD_XP,STAT,TECHNICAL,1,,,,,,,,,TRUE,
CHS_BASIC_COMMUNITY_WORK,CHO_BASIC_COMMUNITY_WORK,1,일손을 돕는다,거주지의 사소하지만 밀린 일을 처리한다.,공동체의 생활 흐름을 조금 더 이해했다.,2,0,NONE,0,,,,,,,,,,ADD_XP,STAT,SOCIAL,1,ADD_XP,STAT,PERSONAL,1,,,,,TRUE,
CHS_BASIC_PUMP_CHECK,CHO_BASIC_PUMP_CHECK,1,펌프를 점검한다,"소리와 진동, 마모 상태를 확인한다.",펌프 상태를 확인했다.,1,0,NONE,0,,,,,,,,,,ADD_XP,STAT,TECHNICAL,1,,,,,,,,,TRUE,
CHS_BASIC_SAM_TALK,CHO_BASIC_SAM_TALK,1,오늘 상황을 묻는다,샘과 오늘 있었던 일들을 짧게 정리한다.,공동체 상황을 조금 더 이해했다.,1,0,NONE,0,,,,,,,,,,ADD_XP,STAT,SOCIAL,1,,,,,,,,,TRUE,
CHS_BASIC_GRAVE_CLEAN,CHO_BASIC_GRAVE_CLEAN,1,묘비와 주변을 정리한다,모래와 먼지를 걷어내고 남은 흔적을 정리한다.,묘지를 조금 정돈했다.,1,0,NONE,0,,,,,,,,,,ADD_XP,STAT,PERSONAL,1,,,,,,,,,TRUE,
CHS_W1_AWAKE,CHO_W1_AWAKE,1,사고 이후의 이야기를 듣는다,"샘은 제이가 빠져 있던 시간과 죽은 사람들, 남은 사람들의 역할을 설명한다.",제이는 자신이 깨어난 세계의 윤곽을 이해하기 시작했다.,2,0,NONE,0,,,,,,,,,,EMIT_EVENT,EVENT,EVT_W1_AWAKE_COMPLETE,FIRE,ADD_XP,STAT,PERSONAL,1,,,,,TRUE,
CHS_W1_INVEST_BORICHI,CHO_W1_INVEST_BORICHI,1,관측 기록을 함께 분석한다,보리치의 기상 기록과 제이의 지질학 지식을 겹쳐 본다.,수원과 지반 변화가 장기 거주에 위험할 수 있다는 단서를 확인했다.,4,0,TECHNICAL,2,,,,,,,,,,EMIT_EVENT,EVENT,EVT_W1_OASIS_RISK_FOUND,FIRE,ADD_XP,STAT,TECHNICAL,2,,,,,TRUE,보리치 경로도 조사 완료 가능.
CHS_W1_INVEST_PUMP,CHO_W1_INVEST_PUMP_FAST,1,핵심 지점만 빠르게 조사한다,펌프와 수질 기록에서 위험 신호가 큰 지점만 선별한다.,짧은 시간 안에 장기 위험을 확인했다.,3,0,TECHNICAL,4,,,,,,,,,,EMIT_EVENT,EVENT,EVT_W1_OASIS_RISK_FOUND,FIRE,ADD_XP,STAT,TECHNICAL,1,,,,,TRUE,효율 루트.
CHS_W1_INVEST_PUMP,CHO_W1_INVEST_PUMP_NORMAL,2,시간을 들여 하나씩 확인한다,기초 장비와 현장을 차례로 대조한다.,시간은 더 들었지만 같은 위험을 확인했다.,6,0,NONE,0,,,,,,,,,,EMIT_EVENT,EVENT,EVT_W1_OASIS_RISK_FOUND,FIRE,ADD_XP,STAT,PERSONAL,1,,,,,TRUE,노베이스 루트.
